scenario_id,kpi,strategy_1,strategy_2,mean_1,mean_2,diff,t_statistic,p_raw,p_bonferroni,significance
6,total_time_min,distance,priority,707.18,465.71,-241.46,24.796,0.0,0.0,***
6,total_distance_km,distance,time,134.7,169.97,35.27,-10.059,0.0,0.0,***
6,total_distance_km,time,priority,169.97,203.92,33.95,-9.332,0.0,0.0,***
6,total_distance_km,distance,priority,134.7,203.92,69.22,-19.479,0.0,0.0,***
6,people_reached_within_60min,distance,time,3838.97,6733.33,2894.37,-14.678,0.0,0.0,***
6,people_reached_within_60min,time,priority,6733.33,5966.1,-767.23,4.076,5.4e-05,0.000162,***
6,people_reached_within_60min,distance,priority,3838.97,5966.1,2127.13,-15.483,0.0,0.0,***
6,priority1_shelters_reached_within_60min,distance,time,0.87,1.36,0.49,-6.025,0.0,0.0,***
6,priority1_shelters_reached_within_60min,time,priority,1.36,1.78,0.42,-5.646,0.0,0.0,***
6,priority1_shelters_reached_within_60min,distance,priority,0.87,1.78,0.91,-17.135,0.0,0.0,***
6,avg_speed_kmh,distance,time,11.34,26.28,14.94,-45.817,0.0,0.0,***
6,avg_speed_kmh,time,priority,26.28,26.66,0.39,-0.939,0.347877,1.0,ns
6,avg_speed_kmh,distance,priority,11.34,26.66,15.33,-49.981,0.0,0.0,***
6,coverage_rate_pct,distance,time,93.55,93.55,0.0,0.0,1.0,1.0,ns
6,coverage_rate_pct,time,priority,93.55,93.55,0.0,0.0,1.0,1.0,ns
6,coverage_rate_pct,distance,priority,93.55,93.55,0.0,0.0,1.0,1.0,ns
6,shelters_reached_within_60min,distance,time,4.3,7.43,3.12,-27.793,0.0,0.0,***
6,shelters_reached_within_60min,time,priority,7.43,1.78,-5.64,57.292,0.0,0.0,***
6,shelters_reached_within_60min,distance,priority,4.3,1.78,-2.52,37.169,0.0,0.0,***
6,time_to_50pct_people_min,distance,time,138.26,83.9,-54.36,12.482,0.0,0.0,***
6,time_to_50pct_people_min,time,priority,83.9,257.08,173.18,-28.629,0.0,0.0,***
6,time_to_50pct_people_min,distance,priority,138.26,257.08,118.82,-17.707,0.0,0.0,***
